date,temp_class,stp_class,hmdy_class,prcp_class,wdct_class,wdsp_class,state
2021-02-05,<25,980 to 990,>75,<0.1,E,<5,Haze
2021-02-06,25 to 30,980 to 990,50 to 75,<0.1,S,<5,Clear
2021-02-07,25 to 30,980 to 990,50 to 75,<0.1,S,<5,Clear
2021-02-08,25 to 30,980 to 990,50 to 75,0.1 to 1,S,<5,Rain
2021-02-09,<25,980 to 990,50 to 75,0.1 to 1,E,<5,Rain
2021-02-10,25 to 30,980 to 990,50 to 75,<0.1,E,<5,Clear
2021-02-11,25 to 30,980 to 990,50 to 75,<0.1,S,<5,Clear
2021-02-12,25 to 30,980 to 990,50 to 75,<0.1,E,<5,Clear
2021-02-13,25 to 30,980 to 990,50 to 75,<0.1,N,<5,Clear
2021-02-14,25 to 30,980 to 990,50 to 75,<0.1,N,<5,Clear
2021-02-15,25 to 30,980 to 990,50 to 75,<0.1,N,<5,Clear
2021-02-16,<25,980 to 990,50 to 75,<0.1,N,<5,Clear
2021-02-17,<25,980 to 990,50 to 75,<0.1,E,<5,Clear
2021-02-18,<25,980 to 990,50 to 75,<0.1,E,<5,Clear
2021-02-19,25 to 30,990 to 1000,50 to 75,<0.1,E,<5,Clear
2021-02-20,<25,980 to 990,50 to 75,<0.1,E,<5,Clear
2021-02-21,<25,980 to 990,>75,<0.1,S,<5,Haze
2021-02-22,<25,980 to 990,50 to 75,<0.1,S,<5,Clear
2021-02-23,<25,980 to 990,50 to 75,<0.1,S,<5,Clear
2021-02-24,<25,980 to 990,50 to 75,<0.1,S,<5,Clear
2021-02-25,<25,980 to 990,>75,<0.1,S,<5,Haze
2021-02-26,<25,980 to 990,>75,<0.1,E,<5,Haze
2021-02-27,<25,980 to 990,>75,<0.1,E,<5,Haze
2021-02-28,<25,980 to 990,>75,<0.1,E,<5,Haze
2021-03-01,<25,980 to 990,>75,0.1 to 1,E,<5,Rain
2021-03-02,<25,980 to 990,>75,<0.1,E,<5,Haze
2021-03-03,<25,980 to 990,>75,<0.1,S,<5,Haze
2021-03-04,<25,980 to 990,50 to 75,<0.1,S,<5,Clear
2021-03-05,<25,980 to 990,50 to 75,<0.1,S,<5,Clear
2021-03-06,<25,980 to 990,50 to 75,0.1 to 1,S,<5,Rain
2021-03-07,<25,980 to 990,50 to 75,1 to 10,S,<5,Rain
2021-03-08,<25,980 to 990,50 to 75,0.1 to 1,S,<5,Rain
2021-03-09,<25,980 to 990,50 to 75,0.1 to 1,E,<5,Rain
2021-03-10,<25,990 to 1000,50 to 75,<0.1,E,<5,Clear
2021-03-11,<25,990 to 1000,50 to 75,<0.1,E,<5,Clear
2021-03-12,25 to 30,990 to 1000,50 to 75,<0.1,E,<5,Clear
2021-03-13,25 to 30,990 to 1000,50 to 75,0.1 to 1,N,<5,Rain
2021-03-14,25 to 30,990 to 1000,50 to 75,0.1 to 1,N,<5,Rain
2021-03-15,25 to 30,990 to 1000,50 to 75,<0.1,E,<5,Clear
2021-03-16,25 to 30,990 to 1000,50 to 75,0.1 to 1,E,<5,Rain
2021-03-17,25 to 30,990 to 1000,50 to 75,<0.1,E,<5,Clear
2021-03-18,25 to 30,990 to 1000,50 to 75,<0.1,E,<5,Clear
2021-03-19,25 to 30,>1000,50 to 75,<0.1,E,<5,Clear
2021-03-20,25 to 30,>1000,50 to 75,<0.1,E,<5,Clear
2021-03-21,25 to 30,>1000,50 to 75,<0.1,S,<5,Clear
2021-03-22,<25,>1000,>75,<0.1,S,<5,Haze
2021-03-23,<25,>1000,>75,<0.1,S,<5,Haze
2021-03-24,<25,>1000,>75,<0.1,E,<5,Haze
2021-03-25,<25,>1000,>75,<0.1,E,<5,Haze
2021-03-26,<25,>1000,>75,<0.1,E,<5,Haze
2021-03-27,<25,>1000,>75,<0.1,E,5 to 10,Windy
2021-03-28,<25,>1000,>75,<0.1,E,5 to 10,Windy
2021-03-29,<25,>1000,>75,<0.1,S,5 to 10,Windy
2021-03-30,<25,>1000,>75,<0.1,S,<5,Haze
2021-03-31,<25,>1000,>75,<0.1,S,<5,Haze
2021-04-01,<25,>1000,>75,<0.1,S,5 to 10,Windy
2021-04-02,<25,>1000,>75,<0.1,S,5 to 10,Windy
2021-04-03,25 to 30,>1000,>75,0.1 to 1,E,<5,Rain
2021-04-04,25 to 30,>1000,>75,0.1 to 1,E,<5,Rain
2021-04-05,25 to 30,>1000,>75,0.1 to 1,E,<5,Rain
2021-04-06,30 to 35,>1000,>75,0.1 to 1,E,<5,Heatwave
2021-04-07,30 to 35,>1000,>75,<0.1,E,<5,Heatwave
2021-04-08,30 to 35,>1000,>75,<0.1,S,<5,Heatwave
2021-04-09,30 to 35,>1000,>75,<0.1,S,<5,Heatwave
2021-04-10,30 to 35,>1000,>75,<0.1,S,<5,Heatwave
2021-04-11,30 to 35,>1000,50 to 75,<0.1,S,<5,Heatwave
2021-04-12,30 to 35,>1000,25 to 50,1 to 10,S,<5,Heatwave
2021-04-13,30 to 35,>1000,50 to 75,0.1 to 1,S,<5,Heatwave
2021-04-14,25 to 30,>1000,50 to 75,0.1 to 1,S,<5,Rain
2021-04-15,25 to 30,>1000,>75,<0.1,S,<5,Haze
2021-04-16,25 to 30,>1000,>75,0.1 to 1,E,<5,Rain
2021-04-17,25 to 30,>1000,50 to 75,0.1 to 1,E,<5,Rain
2021-04-18,25 to 30,>1000,50 to 75,0.1 to 1,E,<5,Rain
2021-04-19,25 to 30,>1000,50 to 75,0.1 to 1,E,<5,Rain
2021-04-20,25 to 30,>1000,>75,<0.1,E,<5,Haze
2021-04-21,25 to 30,>1000,50 to 75,<0.1,S,<5,Clear
2021-04-22,25 to 30,>1000,50 to 75,<0.1,S,<5,Clear
2021-04-23,25 to 30,>1000,50 to 75,<0.1,S,<5,Clear
2021-04-24,25 to 30,>1000,50 to 75,<0.1,S,<5,Clear
2021-04-25,25 to 30,>1000,50 to 75,0.1 to 1,S,<5,Rain
2021-04-26,25 to 30,>1000,50 to 75,0.1 to 1,E,<5,Rain
2021-04-27,<25,>1000,50 to 75,<0.1,S,<5,Clear
2021-04-28,<25,>1000,50 to 75,<0.1,S,<5,Clear
2021-04-29,25 to 30,>1000,50 to 75,<0.1,S,<5,Clear
2021-04-30,25 to 30,>1000,50 to 75,<0.1,S,<5,Clear
